idx,true_t+1,pred_t+1,true_t+2,pred_t+2,true_t+3,pred_t+3,true_t+4,pred_t+4,true_t+5,pred_t+5,true_t+6,pred_t+6
0,6.34,5.88696,5.59,5.52942,5.51,5.33293,5.33,5.22709,5.33,5.13145,4.9,5.08946
1,5.59,6.11556,5.51,5.86302,5.33,5.70203,5.33,5.59678,4.9,5.50709,4.92,5.48052
2,5.51,5.47891,5.33,5.28251,5.33,5.20061,4.9,5.2004,4.92,5.21399,4.45,5.27092
3,5.33,5.41228,5.33,5.22402,4.9,5.14931,4.92,5.15684,4.45,5.18344,4.29,5.2789
4,5.33,5.20101,4.9,5.07451,4.92,5.0605,4.45,5.12565,4.29,5.21806,3.87,5.36811
5,4.9,5.26946,4.92,5.20259,4.45,5.23611,4.29,5.34499,3.87,5.45379,3.51,5.60987
6,4.92,4.89291,4.45,4.87044,4.29,4.96135,3.87,5.11509,3.51,5.26192,3.69,5.4599
7,4.45,4.97531,4.29,5.03628,3.87,5.17061,3.51,5.34081,3.69,5.50551,3.73,5.72752
8,4.29,4.61841,3.87,4.68172,3.51,4.84767,3.69,5.08928,3.73,5.34721,4.21,5.69693
9,3.87,4.40191,3.51,4.55185,3.69,4.81684,3.73,5.1471,4.21,5.51087,4.93,5.97951
10,3.51,3.98008,3.69,4.19718,3.73,4.55291,4.21,5.018,4.93,5.52268,5.9,6.10054
11,3.69,3.68243,3.73,3.95148,4.21,4.41766,4.93,5.01499,5.9,5.63328,7.08,6.24591
12,3.73,3.96857,4.21,4.40429,4.93,5.01993,5.9,5.72742,7.08,6.37024,7.54,6.89906
13,4.21,4.1664,4.93,4.7373,5.9,5.45631,7.08,6.18636,7.54,6.74106,7.39,7.08451
14,4.93,4.83812,5.9,5.51073,7.08,6.23575,7.54,6.8566,7.39,7.20891,7.44,7.26693
15,5.9,5.73131,7.08,6.42883,7.54,7.07667,7.39,7.54623,7.44,7.67327,7.45,7.5159
16,7.08,6.93921,7.54,7.59815,7.39,8.0743,7.44,8.268,7.45,8.12466,7.13,7.78201
17,7.54,8.26189,7.39,8.74381,7.44,8.90966,7.45,8.765,7.13,8.3606,6.99,7.87292
18,7.39,8.46634,7.44,8.48009,7.45,8.27747,7.13,7.94087,6.99,7.49928,7.08,7.07197
19,7.44,8.15373,7.45,8.01625,7.13,7.74071,6.99,7.38522,7.08,6.9627,6.92,6.58101
20,7.45,7.91046,7.13,7.64614,6.99,7.29979,7.08,6.92435,6.92,6.52416,6.88,6.17109
21,7.13,7.64884,6.99,7.33885,7.08,7.00219,6.92,6.67595,6.88,6.31922,6.46,6.00109
22,6.99,7.37698,7.08,7.05099,6.92,6.73182,6.88,6.4184,6.46,6.08244,6.19,5.79725
23,7.08,7.16099,6.92,6.84609,6.88,6.54154,6.46,6.24657,6.19,5.94037,6.42,5.68353
24,6.92,7.09225,6.88,6.73394,6.46,6.4141,6.19,6.14673,6.42,5.89154,6.34,5.67338
25,6.88,7.04009,6.46,6.74505,6.19,6.49203,6.42,6.27392,6.34,6.03735,6.42,5.82604
26,6.46,6.94007,6.19,6.61852,6.42,6.35142,6.34,6.1219,6.42,5.89255,6.38,5.69913
27,6.19,6.58877,6.42,6.26519,6.34,6.00969,6.42,5.81174,6.38,5.61812,6.44,5.46516
28,6.42,6.29566,6.34,5.96708,6.42,5.71925,6.38,5.53343,6.44,5.36481,6.58,5.26116
29,6.34,6.53724,6.42,6.30394,6.38,6.10479,6.44,5.93941,6.58,5.78127,6.74,5.70359
30,6.42,6.51222,6.38,6.31114,6.44,6.13513,6.58,5.99467,6.74,5.88315,6.72,5.89599
31,6.38,6.58808,6.44,6.44369,6.58,6.32586,6.74,6.25195,6.72,6.24015,7.21,6.38278
32,6.44,6.52243,6.58,6.40476,6.74,6.34309,6.72,6.38159,7.21,6.52,7.5,6.81675
33,6.58,6.57489,6.74,6.52508,6.72,6.57033,7.21,6.7452,7.5,7.02276,7.87,7.42302
34,6.74,6.74491,6.72,6.80147,7.21,6.98029,7.5,7.28794,7.87,7.65913,8.06,8.08581
35,6.72,6.97499,7.21,7.18331,7.5,7.51671,7.87,7.93647,8.06,8.33542,8.34,8.69622
36,7.21,7.15794,7.5,7.53004,7.87,8.00007,8.06,8.47655,8.34,8.82808,8.54,9.04862
37,7.5,7.75355,7.87,8.2398,8.06,8.75383,8.34,9.18573,8.54,9.40788,8.46,9.46204
38,7.87,8.15895,8.06,8.6614,8.34,9.13315,8.54,9.46047,8.46,9.54761,8.46,9.4814
39,8.06,8.5101,8.34,8.92821,8.54,9.26869,8.46,9.44682,8.46,9.40418,8.52,9.25403
40,8.34,8.6092,8.54,8.85304,8.46,9.02341,8.46,9.07527,8.52,8.96358,8.31,8.77993
41,8.54,8.84241,8.46,8.98843,8.46,9.06737,8.52,9.05966,8.31,8.91044,8.14,8.70349
42,8.46,9.07048,8.46,9.171,8.52,9.1999,8.31,9.13502,8.14,8.93619,8.13,8.69988
43,8.46,8.94905,8.52,8.96575,8.31,8.93077,8.14,8.82388,8.13,8.60529,8.13,8.36135
44,8.52,8.83758,8.31,8.7928,8.14,8.71881,8.13,8.59663,8.13,8.37405,8.13,8.14028
45,8.31,8.84515,8.14,8.80124,8.13,8.72309,8.13,8.58514,8.13,8.35185,7.84,8.12073
46,8.14,8.60425,8.13,8.50875,8.13,8.40061,8.13,8.25948,7.84,8.04559,7.53,7.85567
47,8.13,8.31538,8.13,8.15233,8.13,8.00791,7.84,7.86328,7.53,7.68735,7.62,7.56188
48,8.13,8.20747,8.13,8.03537,7.84,7.89417,7.53,7.77731,7.62,7.65079,7.27,7.57214
49,8.13,8.16081,7.84,8.00032,7.53,7.88714,7.62,7.82031,7.27,7.73905,7.32,7.69077
50,7.84,8.21892,7.53,8.11237,7.62,8.04687,7.27,7.99924,7.32,7.92131,7.2,7.87601
51,7.53,7.94896,7.62,7.85862,7.27,7.82129,7.32,7.8054,7.2,7.76358,6.99,7.75643
52,7.62,7.5719,7.27,7.45204,7.32,7.41274,7.2,7.42208,6.99,7.4218,6.94,7.46634
53,7.27,7.63313,7.32,7.56689,7.2,7.56576,6.99,7.59921,6.94,7.61624,6.97,7.67475
54,7.32,7.31571,7.2,7.26142,6.99,7.28978,6.94,7.36647,6.97,7.43067,6.93,7.53891
55,7.2,7.40062,6.99,7.3911,6.94,7.45722,6.97,7.5626,6.93,7.65594,7.04,7.79822
56,6.99,7.30911,6.94,7.34572,6.97,7.45651,6.93,7.60985,7.04,7.75315,7.74,7.93173
57,6.94,7.12879,6.97,7.18203,6.93,7.33164,7.04,7.53737,7.74,7.7221,8.5,7.92316
58,6.97,7.10316,6.93,7.19643,7.04,7.39265,7.74,7.63638,8.5,7.84207,9.45,8.03835
59,6.93,7.19302,7.04,7.35814,7.74,7.60455,8.5,7.86837,9.45,8.06142,9.1,8.21893
60,7.04,7.2056,7.74,7.38107,8.5,7.63201,9.45,7.89164,9.1,8.06517,9.27,8.18329
61,7.74,7.36232,8.5,7.54657,9.45,7.78023,9.1,7.99951,9.27,8.11617,9.79,8.17459
62,8.5,8.14846,9.45,8.37029,9.1,8.58062,9.27,8.7378,9.79,8.77534,10.1,8.75219
63,9.45,8.96058,9.1,9.18611,9.27,9.34313,9.79,9.41239,10.1,9.34885,9.64,9.23464
64,9.1,9.83887,9.27,10.0048,9.79,10.0664,10.1,10.0274,9.64,9.86706,9.07,9.67404
65,9.27,9.70591,9.79,9.67044,10.1,9.60494,9.64,9.50701,9.07,9.33806,8.75,9.15889
66,9.79,9.67467,10.1,9.51857,9.64,9.37374,9.07,9.23377,8.75,9.05015,8.29,8.8695
67,10.1,9.89087,9.64,9.72548,9.07,9.56146,8.75,9.3979,8.29,9.17695,7.86,8.93594
68,9.64,10.3873,9.07,10.2059,8.75,10.0131,8.29,9.7986,7.86,9.49718,7.03,9.1798
69,9.07,10.0844,8.75,9.81363,8.29,9.56567,7.86,9.30255,7.03,8.98371,6.42,8.68317
70,8.75,9.38304,8.29,9.05086,7.86,8.77312,7.03,8.53222,6.42,8.28177,5.81,8.07408
71,8.29,8.9167,7.86,8.55584,7.03,8.28199,6.42,8.07935,5.81,7.88387,5.43,7.73713
72,7.86,8.33362,7.03,7.96294,6.42,7.70688,5.81,7.53621,5.43,7.37998,5.05,7.27931
73,7.03,7.81353,6.42,7.48358,5.81,7.2866,5.43,7.18238,5.05,7.08955,4.6,7.04424
74,6.42,7.00234,5.81,6.729,5.43,6.60104,5.05,6.56224,4.6,6.53496,4.14,6.55033
75,5.81,6.33539,5.43,6.10942,5.05,6.03162,4.6,6.04788,4.14,6.07184,3.78,6.14594
76,5.43,5.70238,5.05,5.48661,4.6,5.43676,4.14,5.49476,3.78,5.57849,4.03,5.74566
77,5.05,5.34891,4.6,5.23905,4.14,5.27798,3.78,5.40287,4.03,5.55054,3.87,5.80836
78,4.6,4.9792,4.14,4.96646,3.78,5.09333,4.03,5.30922,3.87,5.57131,4.06,5.95514
79,4.14,4.6366,3.78,4.68855,4.03,4.89289,3.87,5.2226,4.06,5.61969,6.2,6.13872
80,3.78,4.27584,4.03,4.3944,3.87,4.71055,4.06,5.18033,6.2,5.72882,7.77,6.37804
81,4.03,3.99583,3.87,4.25823,4.06,4.74591,6.2,5.38838,7.77,6.07203,10,6.7903
82,3.87,4.41118,4.06,4.90968,6.2,5.59683,7.77,6.37198,10,7.09142,10.59,7.74969
83,4.06,4.52936,6.2,5.2148,7.77,6.05472,10,6.90742,10.59,7.60952,10.78,8.15523
84,6.2,4.96247,7.77,5.73929,10,6.62077,10.59,7.4519,10.78,8.06713,10.64,8.49615
85,7.77,7.37599,10,8.29678,10.59,9.13338,10.78,9.78196,10.64,10.1509,10.35,10.2973
86,10,9.25941,10.59,10.1689,10.78,10.8616,10.64,11.2954,10.35,11.4023,10.2,11.2558
87,10.59,11.3567,10.78,12.1056,10.64,12.5759,10.35,12.7517,10.2,12.5811,10.42,12.1632
88,10.78,12.2024,10.64,12.7288,10.35,12.9836,10.2,12.9401,10.42,12.5624,10.31,11.9688
89,10.64,12.3324,10.35,12.4937,10.2,12.4368,10.42,12.1447,10.31,11.5979,10.14,10.9086
90,10.35,11.8859,10.2,11.7078,10.42,11.3767,10.31,10.9073,10.14,10.2676,9.96,9.54546
91,10.2,11.212,10.42,10.8355,10.31,10.3622,10.14,9.7988,9.96,9.10074,9.87,8.36992
92,10.42,10.8779,10.31,10.4442,10.14,9.92208,9.96,9.31602,9.87,8.61177,9.71,7.9184
93,10.31,10.8858,10.14,10.4089,9.96,9.82178,9.87,9.16871,9.71,8.46884,9.81,7.84307
94,10.14,10.7239,9.96,10.1522,9.87,9.51755,9.71,8.88184,9.81,8.26854,9.88,7.7589
95,9.96,10.3791,9.87,9.72942,9.71,9.0836,9.81,8.50545,9.88,7.99323,9.96,7.5976
96,9.87,9.93932,9.71,9.27249,9.81,8.68474,9.88,8.21357,9.96,7.82372,9.94,7.51985
97,9.71,9.77232,9.81,9.19817,9.88,8.71449,9.96,8.33525,9.94,7.99766,9.86,7.70005
98,9.81,9.65227,9.88,9.14116,9.96,8.71377,9.94,8.36069,9.86,8.02581,9.02,7.75336
99,9.88,9.79939,9.96,9.3736,9.94,8.98583,9.86,8.63297,9.02,8.30204,8.65,8.07832
100,9.96,9.9345,9.94,9.54241,9.86,9.16258,9.02,8.83128,8.65,8.55998,8.86,8.47768
101,9.94,9.95633,9.86,9.60365,9.02,9.27866,8.65,9.0351,8.86,8.92541,8.99,9.0743
102,9.86,9.90504,9.02,9.57491,8.65,9.32171,8.86,9.24137,8.99,9.36972,9.19,9.78611
103,9.02,9.77561,8.65,9.5093,8.86,9.40313,8.99,9.54357,9.19,9.92746,9.38,10.5552
104,8.65,8.85382,8.86,8.64943,8.99,8.73285,9.19,9.13621,9.38,9.76612,11.04,10.5227
105,8.86,8.2955,8.99,8.26918,9.19,8.59715,9.38,9.2295,11.04,9.96619,11.88,10.6719
106,8.99,8.75764,9.19,9.12859,9.38,9.75474,11.04,10.4758,11.88,11.0784,12.11,11.4832
107,9.19,9.23937,9.38,9.88159,11.04,10.6494,11.88,11.3273,12.11,11.7078,13.27,11.8296
108,9.38,9.52289,11.04,10.1524,11.88,10.8042,12.11,11.2597,13.27,11.4028,13.82,11.3521
109,11.04,9.71816,11.88,10.1971,12.11,10.6234,13.27,10.855,13.82,10.8454,12.68,10.7272
110,11.88,11.0167,12.11,11.2304,13.27,11.3466,13.82,11.3407,12.68,11.191,12.62,10.9987
111,12.11,11.8169,13.27,11.8834,13.82,11.8557,12.68,11.7401,12.62,11.5042,12.34,11.2357
112,13.27,11.9131,13.82,11.7526,12.68,11.5751,12.62,11.3598,12.34,11.0635,11.37,10.7532
113,13.82,12.6987,12.68,12.4626,12.62,12.2084,12.34,11.9294,11.37,11.5705,10.22,11.1909
114,12.68,13.6121,12.62,13.2714,12.34,12.9241,11.37,12.5558,10.22,12.0944,8.4,11.6221
115,12.62,12.914,12.34,12.3759,11.37,11.9202,10.22,11.4968,8.4,11.0285,7.52,10.6023
116,12.34,12.1575,11.37,11.5456,10.22,11.0345,8.4,10.5943,7.52,10.1727,6.58,9.84058
117,11.37,11.7905,10.22,11.171,8.4,10.6887,7.52,10.3158,6.58,9.97399,6.38,9.70617
118,10.22,10.9826,8.4,10.3317,7.52,9.87671,6.58,9.56092,6.38,9.28222,5.67,9.08047
119,8.4,9.55073,7.52,8.86954,6.58,8.45136,6.38,8.21276,5.67,8.05368,4.57,7.98476
120,7.52,7.70149,6.58,7.05982,6.38,6.75449,5.67,6.67393,4.57,6.673,3.52,6.73638
121,6.58,6.75249,6.38,6.26208,5.67,6.09743,4.57,6.12021,3.52,6.17286,2.76,6.27898
122,6.38,5.85253,5.67,5.51191,4.57,5.45398,3.52,5.54732,2.76,5.65758,2.54,5.82182
123,5.67,5.84391,4.57,5.66415,3.52,5.67356,2.76,5.77838,2.54,5.89134,2.16,6.11463
124,4.57,5.37973,3.52,5.30933,2.76,5.39443,2.54,5.56864,2.16,5.81004,1.66,6.23599
125,3.52,4.44557,2.76,4.3936,2.54,4.5464,2.16,4.87593,1.66,5.35359,1.33,6.06702
126,2.76,3.64496,2.54,3.67838,2.16,4.00966,1.66,4.60341,1.33,5.38124,1.05,6.37878
127,2.54,3.36426,2.16,3.6986,1.66,4.34688,1.33,5.23454,1.05,6.26682,1.16,7.46077
128,2.16,3.54848,1.66,4.22218,1.33,5.19535,1.05,6.3633,1.16,7.59339,2.02,8.88613
129,1.66,3.75801,1.33,4.68371,1.05,5.90028,1.16,7.2612,2.02,8.58982,3.32,9.82395
130,1.33,3.80342,1.05,4.93939,1.16,6.37908,2.02,7.91806,3.32,9.30524,6.48,10.4496
131,1.05,3.76087,1.16,5.06212,2.02,6.63043,3.32,8.215,6.48,9.54124,10.27,10.5408
132,1.16,3.63171,2.02,5.01522,3.32,6.56448,6.48,8.02523,10.27,9.15941,13.2,9.92718
133,2.02,3.42631,3.32,4.65085,6.48,6.00286,10.27,7.27171,13.2,8.22301,14.51,8.78096
134,3.32,3.8193,6.48,4.96588,10.27,6.15466,13.2,7.21883,14.51,7.92244,13.17,8.21368
135,6.48,5.24709,10.27,6.39317,13.2,7.39769,14.51,8.13198,13.17,8.45164,10.88,8.35517
136,10.27,8.53399,13.2,9.65882,14.51,10.3766,13.17,10.6826,10.88,10.5247,9.1,9.98522
137,13.2,11.9216,14.51,12.938,13.17,13.3777,10.88,13.3096,9.1,12.7546,8.18,11.8733
138,14.51,14.4119,13.17,15.112,10.88,15.143,9.1,14.6281,8.18,13.68,7.54,12.515
139,13.17,15.7368,10.88,15.7402,9.1,15.2035,8.18,14.3038,7.54,13.1342,7.38,11.8983
140,10.88,14.4912,9.1,13.756,8.18,12.7711,7.54,11.6722,7.38,10.5007,7.05,9.37592
141,9.1,12.4495,8.18,11.3792,7.54,10.2609,7.38,9.20319,7.05,8.15999,6.21,7.18763
142,8.18,9.82032,7.54,8.7477,7.38,7.74884,7.05,6.84624,6.21,5.95332,6.33,5.12395
143,7.54,8.24639,7.38,7.35556,7.05,6.52947,6.21,5.72996,6.33,4.91215,6.83,4.18391
