hour_idx,day_idx,loc_idx,node_idx,utilization_rate
0,29,33,35,0.0
1,29,33,35,0.0
2,29,33,35,0.0
3,29,33,35,0.0
4,29,33,35,0.0
5,29,33,35,0.0
6,29,33,35,0.0
7,29,33,35,0.0
8,29,33,35,0.0
9,29,33,35,0.0
10,29,33,35,0.0
11,29,33,35,0.0
12,29,33,35,0.0
13,29,33,35,0.0
14,29,33,35,0.0
15,29,33,35,0.0
16,29,33,35,0.0
17,29,33,35,0.0
18,29,33,35,0.0
19,29,33,35,0.0
20,29,33,35,0.0
21,29,33,35,0.0
22,29,33,35,0.0
23,29,33,35,0.0
0,30,33,35,0.0
1,30,33,35,0.0
2,30,33,35,0.0
3,30,33,35,0.0
4,30,33,35,0.0
5,30,33,35,0.0
6,30,33,35,0.0
7,30,33,35,0.0
8,30,33,35,0.0
9,30,33,35,0.0
10,30,33,35,0.0
11,30,33,35,0.0
12,30,33,35,1.0
13,30,33,35,0.0
14,30,33,35,0.0
15,30,33,35,1.0
16,30,33,35,1.0
17,30,33,35,1.0
18,30,33,35,0.0
19,30,33,35,0.0
20,30,33,35,0.0
21,30,33,35,0.0
22,30,33,35,0.0
23,30,33,35,0.0
0,24,33,35,0.0
1,24,33,35,0.0
2,24,33,35,0.0
3,24,33,35,0.0
4,24,33,35,0.0
5,24,33,35,0.0
6,24,33,35,0.0
7,24,33,35,0.0
8,24,33,35,0.0
9,24,33,35,0.0
10,24,33,35,1.0
11,24,33,35,1.0
12,24,33,35,1.0
13,24,33,35,1.0
14,24,33,35,1.0
15,24,33,35,1.0
16,24,33,35,0.0
17,24,33,35,0.0
18,24,33,35,0.0
19,24,33,35,1.0
20,24,33,35,1.0
21,24,33,35,0.0
22,24,33,35,0.0
23,24,33,35,0.0
0,25,33,35,0.0
1,25,33,35,0.0
2,25,33,35,0.0
3,25,33,35,0.0
4,25,33,35,0.0
5,25,33,35,0.0
6,25,33,35,0.0
7,25,33,35,0.0
8,25,33,35,0.0
9,25,33,35,0.0
10,25,33,35,1.0
11,25,33,35,1.0
12,25,33,35,1.0
13,25,33,35,1.0
14,25,33,35,1.0
